Filename,State,Governor,Gender,Party,Type of Speech,New Gov?,2020 Contender?,Region,Trifecta Status,Trifecta,Best Transcript URL,Selector,Note,Lesser Transcript URL,New Best Transcript URL
Alabama_Inaugural.txt,Alabama,Kay Ivey,Female,R,Inaugural,No,No,South,R trifecta,Trifecta,https://governor.alabama.gov/remarks-speeches/2019-inaugural-address/,,,https://www.al.com/news/2019/01/the-full-text-of-alabama-gov-kay-iveys-2019-inaugural-speech.html,
Alabama_SOTS.txt,Alabama,Kay Ivey,Female,R,State of the state,No,No,South,R trifecta,Trifecta,https://governor.alabama.gov/remarks-speeches/2019-state-of-the-state-address/,,,,https://governor.alabama.gov/remarks-speeches/2019-state-of-the-state-address/
N/A,Alaska,Mike Dunleavy,Male,R,Inaugural,Yes,No,West,Divided government,Divided,No transcript available,,,,
Alaska_SOTS.txt,Alaska,Mike Dunleavy,Male,R,State of the state,Yes,No,West,Divided government,Divided,https://gov.alaska.gov/newsroom/2019/01/22/2019-state-of-the-state-address/,,,https://www.adn.com/politics/2019/01/23/watch-live-gov-mike-dunleavys-2019-state-of-the-state-address/,https://gov.alaska.gov/newsroom/2019/01/22/2019-state-of-the-state-address/
Arizona_Inaugural.txt,Arizona,Doug Ducey,Male,R,Inaugural,No,No,West,R trifecta,Trifecta,https://azgovernor.gov/governor/news/2019/01/governor-ducey-delivers-second-inaugural-address,,,,
Arizona_SOTS.txt,Arizona,Doug Ducey,Male,R,State of the state,No,No,West,R trifecta,Trifecta,https://azgovernor.gov/governor/news/2019/01/governor-ducey-delivers-state-state-address,,,,https://azgovernor.gov/governor/news/2019/01/governor-ducey-delivers-state-state-address
Arkansas_SOTS.txt,Arkansas,Asa Hutchinson,Male,R,State of the state,No,No,South,R trifecta,Trifecta,https://governor.arkansas.gov/news-media/speeches/2019-state-of-the-state,,,https://www.kark.com/news/politics/gov-asa-hutchinson-s-state-of-the-state-address-transcript/1703571776,https://governor.arkansas.gov/news-media/speeches/2019-state-of-the-state
Arkansas_Inaugural.txt,Arkansas,Asa Hutchinson,Male,R,Inaugural,No,No,South,R trifecta,Trifecta,https://governor.arkansas.gov/news-media/speeches/2019-inaugural-address,,,https://www.fox16.com/news/politics/governor-asa-hutchinson-s-inaugural-address-full-transcript/1703682894,
California_Inaugural.txt,California,Gavin Newsom,Male,D,Inaugural,Yes,No,West,D trifecta,Trifecta,https://www.gov.ca.gov/2019/01/07/newsom-inaugural-address/,,,http://www.capradio.org/articles/2019/01/07/transcript-gov-gavin-newsoms-inauguration-speech/,
California_SOTS.txt,California,Gavin Newsom,Male,D,State of the state,Yes,No,West,D trifecta,Trifecta,https://www.gov.ca.gov/2019/02/12/state-of-the-state-address/,,,,https://www.gov.ca.gov/2019/02/12/state-of-the-state-address/
